Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Scaia Paradiso 2020,Paradiso,Veneto,Italy,Scaia,Northern Italy,Red,2020,4.1,16.1,EUR,Bottle (0.75l)
Cignomoro Pepe Nero Primitivo Salento 2021,Pepe Nero Primitivo Salento,Salento,Italy,Cignomoro,Southern Italy,Primitivo,2021,4.2,16.14,EUR,Bottle (0.75l)
Canevaro Luca Monleale 2017,Monleale,Colli Tortonesi,Italy,Canevaro Luca,Italian,Barbera,2017,4.2,16.14,EUR,Bottle (0.75l)
Cantina Horus Corda Pazza 2018,Corda Pazza,Sicilia,Italy,Cantina Horus,Southern Italy,Red,2018,4,16.14,EUR,Bottle (0.75l)
Château Laville Bertrou Minervois La Livinière 2022,Minervois La Livinière,Minervois La Livinière,France,Château Laville Bertrou,Languedoc-Roussillon,Red,2022,4.1,16.15,EUR,Bottle (0.75l)
Guerrieri Galileo Colli Pesaresi Sangiovese Riserva 2021,Galileo Colli Pesaresi Sangiovese Riserva,Colli Pesaresi,Italy,Guerrieri,Central Italy,Red,2021,4.1,16.17,EUR,Bottle (0.75l)
Bodegas Ateca Atteca Garnacha (Old Vines) 2020,Atteca Garnacha (Old Vines),Calatayud,Spain,Bodegas Ateca,Spanish,Grenache,2020,4.1,16.17,EUR,Bottle (0.75l)
Monte del Frá Lugana Le Undici Terre 2023,Lugana Le Undici Terre,Lugana,Italy,Monte del Frá,Northern Italy,Red,2023,4,16.2,EUR,Bottle (0.75l)
Domaine la Ferme Saint-Martin Les Terres Jaunes 2022,Les Terres Jaunes,Beaumes-de-Venise,France,Domaine la Ferme Saint-Martin,Southern Rhône,Red,2022,4,16.2,EUR,Bottle (0.75l)
È Jamu Zimbato Chianti 2021,Zimbato Chianti,Chianti,Italy,È Jamu,Italian,Chianti,2021,4,16.2,EUR,Bottle (0.75l)
Arboleda Cabernet Sauvignon 2021,Cabernet Sauvignon,Aconcagua Valley,Chile,Arboleda,Chilean,Cabernet Sauvignon,2021,4,16.25,EUR,Bottle (0.75l)
Salentein Reserve Cabernet Sauvignon (Barrel Selection) 2021,Reserve Cabernet Sauvignon (Barrel Selection),Tunuyán,Argentina,Salentein,Argentinian,Cabernet Sauvignon,2021,4,16.25,EUR,Bottle (0.75l)
Les Vignerons du Sommiérois Bois de Carelle Sommières 2021,Bois de Carelle Sommières,Sommières,France,Les Vignerons du Sommiérois,Languedoc-Roussillon,Red,2021,4.1,16.3,EUR,Bottle (0.75l)
